id	label	longitud	latitud	abundance
1	Tinamus major	-85.2	10	1
2	Tinamus major	-85.2	10	1
3	Tinamus major	-84.0118	10.0527	1
4	Tinamus major	-83.5194	10.1108	1
5	Tinamus major	-83.8152	10.1197	1
6	Tinamus major	-83.993	10.1293	1
7	Tinamus major	-83.993	10.1293	1
8	Tinamus major	-85.0441	10.1443	1
9	Tinamus major	-83.937	10.1603	1
10	Tinamus major	-83.9377	10.1609	1
11	Tinamus major	-83.9377	10.1609	1
12	Tinamus major	-83.9377	10.1609	1
13	Tinamus major	-83.9377	10.1609	1
14	Tinamus major	-83.9377	10.1609	1
15	Tinamus major	-83.9398	10.1621	1
16	Tinamus major	-83.955	10.1642	1
17	Tinamus major	-83.955	10.1642	1
18	Tinamus major	-83.955	10.1642	1
19	Tinamus major	-83.9088	10.1726	1
20	Tinamus major	-83.9088	10.1726	1
21	Tinamus major	-83.9088	10.1726	1
22	Tinamus major	-83.9088	10.1726	1
23	Tinamus major	-83.9088	10.1726	1
24	Tinamus major	-83.9135	10.1735	1
25	Tinamus major	-83.9135	10.1735	1
26	Tinamus major	-83.9304	10.1744	1
27	Tinamus major	-83.9304	10.1744	1
28	Tinamus major	-84.4846	10.2029	1
29	Tinamus major	-84.2066	10.2066	1
