id	label	longitud	latitud	abundance
1	Tinamus major	-85.2	10	1
2	Tinamus major	-85.2	10	1
3	Tinamus major	-84.0118	10.0527	1
4	Tinamus major	-83.5194	10.1108	1
5	Tinamus major	-83.8152	10.1197	1
6	Tinamus major	-83.993	10.1293	1
7	Tinamus major	-83.993	10.1293	1
8	Tinamus major	-85.0441	10.1443	1
9	Tinamus major	-83.937	10.1603	1
10	Tinamus major	-83.9377	10.1609	1
11	Tinamus major	-83.9377	10.1609	1
12	Tinamus major	-83.9377	10.1609	1
13	Tinamus major	-83.9377	10.1609	1
14	Tinamus major	-83.9377	10.1609	1
15	Tinamus major	-83.9398	10.1621	1
16	Tinamus major	-83.955	10.1642	1
17	Tinamus major	-83.955	10.1642	1
18	Tinamus major	-83.955	10.1642	1
19	Tinamus major	-83.9088	10.1726	1
20	Tinamus major	-83.9088	10.1726	1
21	Tinamus major	-83.9088	10.1726	1
22	Tinamus major	-83.9088	10.1726	1
23	Tinamus major	-83.9088	10.1726	1
24	Tinamus major	-83.9135	10.1735	1
25	Tinamus major	-83.9135	10.1735	1
26	Tinamus major	-83.9304	10.1744	1
27	Tinamus major	-83.9304	10.1744	1
28	Tinamus major	-84.4846	10.2029	1
29	Tinamus major	-84.2066	10.2066	1
30	Tinamus major	-84.3039	10.21	1
31	Tinamus major	-83.7883	10.2143	1
32	Tinamus major	-84.5339	10.2334	1
33	Tinamus major	-84.5879	10.2406	1
34	Tinamus major	-84.1702	10.2554	1
35	Tinamus major	-84.0879	10.2668	1
36	Tinamus major	-84.0385	10.2715	1
37	Tinamus major	-84.524	10.272	1
38	Tinamus major	-84.524	10.272	1
39	Tinamus major	-84.524	10.272	1
40	Tinamus major	-84.0449	10.2817	1
41	Tinamus major	-84.0449	10.2817	1
42	Tinamus major	-84.0449	10.2817	1
43	Tinamus major	-84.0449	10.2817	1
44	Tinamus major	-84.0449	10.2817	1
45	Tinamus major	-84.0449	10.2817	1
46	Tinamus major	-84.0449	10.2817	1
47	Tinamus major	-84.0449	10.2817	1
48	Tinamus major	-84.0449	10.2817	1
49	Tinamus major	-84.0449	10.2817	1
50	Tinamus major	-84.0449	10.2817	1
51	Tinamus major	-84.0449	10.2817	1
52	Tinamus major	-84.0449	10.2817	1
53	Tinamus major	-84.0449	10.2817	1
54	Tinamus major	-84.0449	10.2817	1
55	Tinamus major	-84.0449	10.2817	1
56	Tinamus major	-84.0449	10.2817	1
57	Tinamus major	-84.0449	10.2817	1
58	Tinamus major	-84.0449	10.2817	1
59	Tinamus major	-84.0449	10.2817	1
60	Tinamus major	-84.0449	10.2817	1
61	Tinamus major	-84.0449	10.2817	1
62	Tinamus major	-84.0449	10.2817	1
63	Tinamus major	-84.0449	10.2817	1
64	Tinamus major	-84.0449	10.2817	1
65	Tinamus major	-84.0449	10.2817	1
66	Tinamus major	-84.0449	10.2817	1
67	Tinamus major	-84.0449	10.2817	1
68	Tinamus major	-84.0449	10.2817	1
69	Tinamus major	-84.0449	10.2817	1
70	Tinamus major	-84.0449	10.2817	1
71	Tinamus major	-84.0449	10.2817	1
72	Tinamus major	-84.0449	10.2817	1
73	Tinamus major	-84.0449	10.2817	1
74	Tinamus major	-84.0449	10.2817	1
75	Tinamus major	-84.0449	10.2817	1
76	Tinamus major	-84.0449	10.2817	1
77	Tinamus major	-84.0449	10.2817	1
78	Tinamus major	-84.0449	10.2817	1
79	Tinamus major	-84.0449	10.2817	1
80	Tinamus major	-84.0449	10.2817	1
81	Tinamus major	-84.0449	10.2817	1
82	Tinamus major	-84.0449	10.2817	1
83	Tinamus major	-84.0449	10.2817	1
84	Tinamus major	-84.0449	10.2817	1
85	Tinamus major	-84.0449	10.2817	1
86	Tinamus major	-84.0449	10.2817	1
87	Tinamus major	-84.0449	10.2817	1
88	Tinamus major	-84.0449	10.2817	1
89	Tinamus major	-84.0449	10.2817	1
